组别,作者,标题,年份,来源,卷,期,页码,类型,DOI,被引用次数,核心,关键词,编号,来源链接
中文-经典Burgers与奇摄动,朱如曾,KdV-Burgers方程行波解的参数变换性质,1994,科学通报,39,16,1459-1461,[J],,未获取,北大核心/CSCD,KdV-Burgers方程;行波解;参数变换,1,http://dspace.imech.ac.cn/handle/311007/72286
中文-交通流与延迟建模,"吕晓阳,孔令江,刘慕仁",一维元胞自动机随机交通流模型的宏观方程分析,2001,物理学报,50,7,1255-1259,[J],10.7498/aps.50.1255,未获取,北大核心/CSCD/SCI收录,元胞自动机;交通流;宏观方程;守恒律,2,https://wulixb.iphy.ac.cn/article/doi/10.7498/aps.50.1255
中文-交通流与延迟建模,薛郁,随机计及相对速度的交通流跟驰模型,2003,物理学报,52,11,2750-2756,[J],10.7498/aps.52.2750,未获取,北大核心/CSCD/SCI收录,跟驰模型;相对速度;线性稳定性;交通流,3,https://wulixb.iphy.ac.cn/cn/article/doi/10.7498/aps.52.2750
中文-数值方法,邓晓燕,MKdV-Burgers方程的稳定控制与约化形式的数值分析,2003,江苏大学,,,,[D],,未获取,学位论文,MKdV-Burgers方程;稳定控制;数值分析;约化,4,
中文-交通流与延迟建模,"唐铁桥,黄海军",两车道交通流模型与数值计算,2004,科学通报,49,19,1937-1943,[J],,未获取,北大核心/CSCD,交通流;连续模型;车道变换;线性稳定性,5,https://www.sciengine.com/parse/pdf/0023-074X/ehtspg96MP5WSLqeZ.pdf
中文-交通流与延迟建模,"唐铁桥,黄海军",不同交通流的统一连续模型,2004,交通运输系统工程与信息,4,3,50-54,[J],,未获取,北大核心,交通流;连续模型;统一建模;非均衡交通流,6,http://www.tseit.org.cn/EN/Y2004/V4/I3/50
中文-经典Burgers与奇摄动,"刘煜,范立群",一种变换型试探函数法的扩展与Burgers方程新的显式精确解,2006,长沙电力学院学报(自然科学版),21,3,70-73,[J],,5,一般期刊,Burgers方程;试探函数法;行波解;精确解,7,http://dianda.cqvip.com/Qikan/Article/Detail?id=22838343&from=Qikan_Article_Detail
中文-交通流与延迟建模,"彭光含,孙棣华,何恒攀",交通流双车跟驰模型与数值仿真,2008,物理学报,57,12,7541-7546,[J],10.7498/aps.57.7541,未获取,北大核心/CSCD/SCI收录,跟驰模型;双车信息;稳定性;数值仿真,8,https://wulixb.iphy.ac.cn/cn/article/doi/10.7498/aps.57.7541
中文-交通流与延迟建模,"华雪东,王炜,王昊",考虑车与车互联通讯技术的交通流跟驰模型,2016,物理学报,65,1,010502,[J],10.7498/aps.65.010502,未获取,北大核心/CSCD/SCI收录,交通流;跟驰模型;车车互联;稳定性,9,https://wulixb.iphy.ac.cn/article/doi/10.7498/aps.65.010502
中文-趋化模型,王玉兰,趋化-流体耦合模型研究进展,2016,西华大学学报(自然科学版),35,4,"30-34,38",[J],10.3969/j.issn.1673-159X.2016.04.006,未获取,一般期刊,趋化;Keller-Segel模型;流体耦合;研究进展,10,https://aj.xhu.edu.cn/xhdxxbzkb/article/doi/10.3969/j.issn.1673-159X.2016.04.006
中文-交通流与延迟建模,"郭言,施映,章一才,薛郁",考虑延迟效应的交通流宏观流体力学模型,2017,广西科学,24,4,349-355,[J],,未获取,一般期刊,交通流;延迟效应;宏观模型;密度波;稳定性,11,http://gxkx.ijournals.cn/gxkx/ch/reader/view_abstract.aspx?file_no=20170405&flag=1
中文-交通流与延迟建模,"乔殿梁,李晓洋,郭明旻,张鹏",流通量间断守恒高阶交通流模型及其数值模拟,2019,应用数学和力学,40,5,546-561,[J],10.21656/1000-0887.390277,未获取,北大核心/CSCD,交通流;高阶模型;守恒律;数值模拟,12,http://www.applmathmech.cn/cn/article/doi/10.21656/1000-0887.390277
中文-趋化模型,"王琪,王学锋",几类Keller-Segel趋化性模型的稳态解及其定性性质,2019,中国科学:数学,49,12,1911-1946,[J],,7,权威期刊/CSCD,Keller-Segel模型;稳态解;定性性质;趋化,13,https://wap.cnki.net/touch/web/Journal/Article/JAXK201912012.html
中文-经典Burgers与奇摄动,"包立平,胡玉博,吴立群",具有初值间断的Burgers方程奇摄动解,2020,应用数学和力学,41,7,807-816,[J],10.21656/1000-0887.400270,未获取,北大核心/CSCD,Burgers方程;奇摄动;初值间断;渐近展开,14,https://pubs.cstam.org.cn/article/doi/10.21656/1000-0887.400270
中文-交通流与延迟建模,"黄宇达,赵红专,王迤冉",考虑车辆协同与时间延迟的跟驰模型的弱非线性分析,2021,计算机应用与软件,38,4,48-57,[J],10.3969/j.issn.1000-386X.2021.04.009,1,北大核心,跟驰模型;时间延迟;车辆协同;Burgers方程;线性稳定性,15,https://cstj.cqvip.com/Qikan/Article/Detail?id=7104317716
中文-经典Burgers与奇摄动,"杜冬青,刘树德",Burgers方程的奇摄动初值问题的激波解,2023,江苏师范大学学报(自然科学版),41,4,49-52,[J],,未获取,一般期刊,Burgers方程;奇摄动;激波解;渐近展开,16,https://d.wanfangdata.com.cn/periodical/xzsfdxxb-zrkx202304011
中文-经典Burgers与奇摄动,丁诗晴,具有双稳定型非线性项的Burgers方程的平衡解和行波解分析,2023,邵阳学院学报(自然科学版),20,2,11-19,[J],,未获取,一般期刊,Burgers方程;双稳非线性;平衡解;行波解,17,https://read.cnki.net/web/Journal/Article/SYXZ202302002.html
中文-数值方法,"张伟燕,杨雪花,张海湘,石扬",一类非线性变系数Burgers方程初边值问题的差分方法,2025,湖南工业大学学报,39,5,89-97,[J],10.3969/j.issn.1673-9833.2025.05.013,未获取,一般期刊,Burgers方程;变系数;差分格式;稳定性;收敛性,18,https://opaj.napstic.cn/periodicalArticle/0120250501445771
中文-数值方法,陈珂,时间分数阶Burgers型方程的两种高效差分格式,2025,华北电力大学(北京),,,,[D],,未获取,学位论文,时间分数阶;Burgers方程;差分格式;数值解,19,
中文-数值方法,王旭平,Burgers方程和Korteweg-de Vries方程初边值问题的有限差分方法,2025,东南大学,,,,[D],,未获取,学位论文,Burgers方程;KdV方程;初边值问题;有限差分,20,
